user,poi
78.0,50354
78.0,26397
78.0,37790
78.0,84901
78.0,73471
78.0,36788
78.0,54727
78.0,31306
78.0,54447
78.0,49634
78.0,81734
78.0,1808
78.0,41804
78.0,76187
78.0,45537
78.0,35161
78.0,59547
78.0,16202
78.0,91876
81.0,64280
81.0,65231
81.0,66637
81.0,15317
81.0,60224
81.0,34325
81.0,67950
81.0,26343
81.0,69385
81.0,95927
81.0,53106
81.0,20196
81.0,55246
81.0,75687
81.0,51695
81.0,50102
81.0,88463
81.0,25355
81.0,90118
81.0,88787
82.0,68390
82.0,46784
82.0,28850
82.0,63052
82.0,3999
82.0,54298
82.0,42123
82.0,23528
82.0,58711
82.0,75873
82.0,55562
82.0,37447
82.0,45544
82.0,57520
82.0,100926
82.0,54741
82.0,102392
82.0,63798
82.0,68062
82.0,12129
82.0,49204
82.0,26353
82.0,11401
84.0,25882
84.0,53656
84.0,2478
84.0,33946
84.0,93278
84.0,4450
84.0,10626
84.0,41266
84.0,102577
84.0,80646
84.0,2815
84.0,13037
84.0,68448
85.0,86273
85.0,26267
85.0,33260
85.0,86048
85.0,99329
85.0,13896
85.0,43020
85.0,57079
85.0,92436
85.0,23091
85.0,78169
85.0,793
85.0,88640
85.0,58545
85.0,27168
85.0,55009
85.0,12457
85.0,80834
86.0,99083
86.0,49589
86.0,67044
86.0,66880
86.0,4044
86.0,90068
86.0,57596
86.0,75723
86.0,14905
86.0,30710
86.0,88430
86.0,61504
87.0,72430
87.0,22731
87.0,94806
87.0,19811
87.0,27871
87.0,32082
87.0,30625
87.0,95602
87.0,49694
87.0,82503
87.0,100744
87.0,101338
87.0,43931
92.0,9745
92.0,90627
92.0,38795
92.0,88922
92.0,95737
92.0,27374
92.0,76783
92.0,73850
92.0,91434
92.0,93959
92.0,3433
92.0,78713
92.0,37244
92.0,58931
92.0,23201
92.0,20454
92.0,88324
92.0,87786
93.0,72709
93.0,9170
93.0,19762
93.0,74896
93.0,81888
93.0,5743
93.0,73638
93.0,3238
93.0,100614
93.0,25833
93.0,49578
93.0,36463
93.0,67772
96.0,58482
96.0,49725
96.0,90525
96.0,442
96.0,52350
96.0,11825
96.0,104220
96.0,39322
96.0,57659
96.0,90463
99.0,1256
99.0,23776
99.0,103859
99.0,20194
99.0,38542
99.0,41390
99.0,82676
99.0,41127
99.0,29762
99.0,93589
99.0,38185
99.0,56738
99.0,101691
99.0,63590
99.0,72943
99.0,98909
99.0,67239
99.0,101296
99.0,78847
101.0,60875
101.0,95521
101.0,6153
101.0,49452
101.0,24465
101.0,64033
101.0,56256
101.0,38370
101.0,71687
101.0,52896
101.0,24424
101.0,55658
104.0,84105
104.0,3015
104.0,27154
104.0,5876
104.0,25402
104.0,9747
104.0,8954
104.0,11776
104.0,2781
104.0,79316
104.0,74851
104.0,100516
104.0,8859
104.0,4789
104.0,79711
104.0,47679
106.0,82422
106.0,34957
106.0,34788
106.0,64120
106.0,57432
106.0,41627
106.0,77049
106.0,70919
106.0,45512
106.0,39266
106.0,33268
106.0,83312
106.0,83057
106.0,95878
106.0,36230
106.0,33030
108.0,85500
108.0,27179
108.0,40034
108.0,5521
108.0,12039
108.0,99611
108.0,96870
108.0,63546
108.0,20708
108.0,91388
108.0,94528
108.0,35063
108.0,44187
108.0,52155
108.0,79521
108.0,66863
108.0,100500
108.0,64575
123.0,12986
123.0,24804
123.0,37594
123.0,54328
123.0,7992
123.0,35993
123.0,26012
123.0,8724
123.0,67570
123.0,46858
124.0,1655
124.0,64799
124.0,36114
124.0,100185
124.0,32245
124.0,50896
124.0,6260
124.0,53031
124.0,99126
124.0,88511
124.0,27276
124.0,20373
124.0,99978
124.0,77869
124.0,78389
124.0,80637
124.0,41279
124.0,78959
124.0,93306
126.0,70648
126.0,73270
126.0,81558
126.0,42224
126.0,56291
126.0,5684
126.0,68012
126.0,83617
126.0,68985
126.0,18243
126.0,9082
126.0,33129
126.0,33128
126.0,2163
126.0,73758
126.0,15410
126.0,63725
126.0,62923
126.0,39505
128.0,104165
128.0,48266
128.0,32697
128.0,6297
128.0,26326
128.0,21621
128.0,87744
128.0,68919
128.0,95214
128.0,64999
129.0,23586
129.0,92682
129.0,52784
129.0,65974
129.0,81860
129.0,43078
129.0,56902
129.0,7609
129.0,20570
129.0,75360
129.0,12082
129.0,83489
130.0,39948
130.0,3247
130.0,86973
130.0,51888
130.0,96551
130.0,100322
130.0,29592
130.0,6438
130.0,24715
130.0,35628
130.0,32124
130.0,90482
130.0,67763
130.0,7950
130.0,17859
130.0,28256
133.0,86545
133.0,25045
133.0,90707
133.0,78849
133.0,16318
133.0,26291
133.0,72972
133.0,18440
133.0,84559
133.0,11225
133.0,23832
133.0,16087
135.0,71138
135.0,11895
135.0,88169
135.0,21924
135.0,53004
135.0,66067
135.0,92348
135.0,8510
135.0,63200
135.0,26170
135.0,62090
135.0,14719
135.0,30748
135.0,23085
135.0,26456
135.0,39608
135.0,61410
157.0,79743
157.0,82290
157.0,94642
157.0,21309
157.0,82705
157.0,3091
157.0,96747
157.0,87076
157.0,96927
157.0,61755
157.0,98452
157.0,84834
157.0,16121
157.0,3992
157.0,88558
157.0,5110
157.0,97294
157.0,49012
158.0,24920
158.0,61602
158.0,64061
158.0,74269
158.0,28088
158.0,38669
158.0,36545
158.0,92225
158.0,22041
158.0,92990
158.0,30977
158.0,11422
158.0,39187
158.0,44564
158.0,21203
158.0,45232
158.0,52366
158.0,13149
158.0,98851
158.0,2996
159.0,41767
159.0,80354
159.0,99828
159.0,75973
159.0,43689
159.0,47869
159.0,26768
159.0,68549
159.0,45434
159.0,20651
159.0,31834
159.0,71599
159.0,66325
159.0,22679
159.0,48369
159.0,95923
159.0,7549
159.0,49962
161.0,88825
161.0,6119
161.0,38885
161.0,73066
161.0,86525
161.0,23589
161.0,46932
161.0,50612
161.0,30702
161.0,12595
161.0,93540
161.0,97545
161.0,10568
161.0,96618
161.0,84820
161.0,103286
169.0,17224
169.0,56925
169.0,44416
169.0,6647
169.0,70196
169.0,13417
169.0,41806
169.0,25802
169.0,100816
169.0,91881
169.0,27072
169.0,71857
169.0,60806
169.0,20116
169.0,1289
169.0,56152
169.0,75470
169.0,2345
169.0,104313
169.0,28664
169.0,70460
169.0,50936
169.0,24314
169.0,58209
169.0,17409
170.0,25776
170.0,35805
170.0,88341
170.0,15762
170.0,15868
170.0,28838
170.0,82237
170.0,57600
170.0,24289
170.0,45907
170.0,74938
170.0,100093
170.0,86020
170.0,23016
170.0,10954
176.0,81268
176.0,70973
176.0,13582
176.0,81152
176.0,25618
176.0,43301
176.0,75784
176.0,89448
176.0,6146
176.0,28960
176.0,25440
176.0,26060
176.0,10729
176.0,59805
176.0,90668
176.0,57313
176.0,720
176.0,105223
176.0,52051
176.0,12113
177.0,105048
177.0,32073
177.0,36564
177.0,20856
177.0,88019
177.0,41675
177.0,72834
177.0,96512
177.0,15766
177.0,76226
177.0,59674
177.0,62027
177.0,44434
177.0,83570
177.0,12010
177.0,39484
177.0,83622
177.0,50979
177.0,10915
177.0,104518
179.0,100042
179.0,35819
179.0,40583
179.0,89836
179.0,36977
179.0,76113
179.0,85239
179.0,73088
179.0,65367
179.0,22720
179.0,5353
179.0,3801
179.0,71963
179.0,61101
179.0,91722
179.0,41245
179.0,59489
179.0,15909
179.0,45315
179.0,89734
179.0,44375
179.0,68672
179.0,75135
179.0,83496
182.0,6712
182.0,4067
182.0,10448
182.0,66119
182.0,23436
182.0,57538
182.0,31554
182.0,52789
182.0,21334
182.0,38841
182.0,66044
182.0,62634
182.0,66779
182.0,29849
182.0,64022
182.0,67210
182.0,33205
182.0,3513
182.0,88993
182.0,31036
191.0,45101
191.0,50186
191.0,4122
191.0,30655
191.0,72306
191.0,63554
191.0,57772
191.0,54254
191.0,54836
191.0,30798
191.0,51714
191.0,20526
191.0,22892
191.0,53787
191.0,84656
191.0,104516
191.0,73187
191.0,70611
191.0,70032
197.0,39142
197.0,83051
197.0,82920
197.0,1938
197.0,45298
197.0,101834
197.0,47694
197.0,78181
197.0,13219
197.0,39981
197.0,99137
197.0,103565
197.0,47820
197.0,32430
200.0,77232
200.0,3206
200.0,87932
200.0,81597
200.0,4295
200.0,6921
200.0,97113
200.0,4877
200.0,2450
200.0,4096
200.0,90396
200.0,60655
200.0,94535
201.0,39003
201.0,6874
201.0,86775
201.0,34293
201.0,73526
201.0,19417
201.0,102782
201.0,4798
201.0,29880
201.0,62583
201.0,11039
201.0,20770
201.0,8435
201.0,64826
201.0,88216
201.0,477
201.0,24330
201.0,34888
201.0,19825
201.0,10386
201.0,33990
201.0,45057
217.0,29494
217.0,89809
217.0,47607
217.0,62985
217.0,10049
217.0,67727
217.0,91617
217.0,85420
217.0,30330
217.0,9472
217.0,48069
217.0,88506
221.0,86685
221.0,48183
221.0,82712
221.0,10224
221.0,61629
221.0,94627
221.0,50773
221.0,35658
221.0,8837
221.0,61885
221.0,69382
221.0,72625
221.0,50145
221.0,86632
223.0,5986
223.0,14293
223.0,74471
223.0,68498
223.0,104657
223.0,50207
223.0,56675
223.0,63737
223.0,26302
223.0,71047
223.0,52982
223.0,77820
223.0,23908
223.0,57608
223.0,3568
223.0,54149
223.0,81243
231.0,75250
231.0,34587
231.0,27953
231.0,29513
231.0,13356
231.0,54105
231.0,82325
231.0,78132
231.0,77671
231.0,68384
234.0,9408
234.0,61940
234.0,2297
234.0,7335
234.0,18865
234.0,74168
234.0,43477
234.0,52993
234.0,10061
234.0,64521
234.0,46012
234.0,80963
234.0,18519
235.0,53533
235.0,81409
235.0,40030
235.0,66454
235.0,8091
235.0,19485
235.0,55997
235.0,75407
235.0,78723
235.0,48365
235.0,49180
235.0,73437
235.0,48715
235.0,48339
240.0,19884
240.0,9948
240.0,32769
240.0,50312
240.0,38331
240.0,13566
240.0,79428
240.0,57375
240.0,65972
240.0,42676
240.0,70886
240.0,89865
240.0,32709
240.0,95821
240.0,32469
240.0,23913
244.0,8254
244.0,27387
244.0,93170
244.0,39329
244.0,34732
244.0,21719
244.0,28333
244.0,30860
244.0,6191
244.0,22693
244.0,51828
244.0,36120
244.0,63149
244.0,89515
244.0,69301
244.0,63603
244.0,55443
244.0,72350
244.0,78269
244.0,85154
244.0,6255
244.0,4216
244.0,76881
244.0,87743
244.0,8710
245.0,83614
245.0,78181
245.0,50322
245.0,1566
245.0,98445
245.0,105439
245.0,96180
245.0,32246
245.0,56487
245.0,27659
245.0,18454
245.0,82934
245.0,91633
245.0,22172
245.0,103547
245.0,32760
245.0,87051
245.0,91124
245.0,81984
245.0,32116
245.0,78475
245.0,30190
245.0,59738
245.0,85634
245.0,12305
246.0,34599
246.0,74251
246.0,10675
246.0,33203
246.0,75054
246.0,55415
246.0,5040
246.0,37941
246.0,82542
246.0,34236
246.0,34225
246.0,10279
246.0,40654
246.0,72259
246.0,67519
246.0,97508
246.0,31678
246.0,23537
246.0,95618
246.0,96773
246.0,101079
246.0,51515
246.0,60435
246.0,66869
249.0,51518
249.0,10317
249.0,30693
249.0,92904
249.0,48302
249.0,56779
249.0,50448
249.0,14644
249.0,36239
249.0,70884
249.0,92452
249.0,33201
249.0,68981
249.0,45082
251.0,16076
251.0,37791
251.0,96681
251.0,45407
251.0,51086
251.0,103682
251.0,29504
251.0,22699
251.0,24856
251.0,91652
251.0,79211
251.0,101535
251.0,48900
251.0,58787
251.0,65214
251.0,24807
251.0,13417
251.0,104897
254.0,37783
254.0,1503
254.0,3866
254.0,38810
254.0,10986
254.0,103541
254.0,76787
254.0,46070
254.0,18591
254.0,77614
254.0,72678
254.0,76325
254.0,15847
254.0,18315
254.0,1973
254.0,78415
255.0,37311
255.0,89005
255.0,88870
255.0,2590
255.0,55205
255.0,28759
255.0,80786
255.0,57209
255.0,62970
255.0,7981
255.0,44213
255.0,71424
255.0,37636
255.0,2631
255.0,71324
255.0,64278
255.0,58297
255.0,73024
255.0,95724
255.0,41136
255.0,42574
255.0,34616
255.0,4211
268.0,34935
268.0,32704
268.0,99284
268.0,76920
268.0,36209
268.0,74062
268.0,26332
268.0,30777
268.0,79437
268.0,53313
268.0,44430
268.0,45369
268.0,84986
268.0,26584
268.0,58798
276.0,44657
276.0,12728
276.0,71159
276.0,53221
276.0,26549
276.0,95142
276.0,60040
276.0,6874
276.0,75157
276.0,46529
276.0,2061
276.0,21416
280.0,44870
280.0,24360
280.0,98912
280.0,82555
280.0,98977
280.0,42424
280.0,37412
280.0,103051
280.0,66430
280.0,96728
280.0,92068
280.0,85862
280.0,95421
280.0,76831
280.0,3270
280.0,5963
280.0,11288
280.0,105470
280.0,47509
280.0,6362
280.0,61789
280.0,74399
280.0,31056
280.0,53029
280.0,55106
284.0,51463
284.0,4897
284.0,90823
284.0,40116
284.0,101547
284.0,24414
284.0,99972
284.0,459
284.0,5782
284.0,23237
285.0,90238
285.0,80681
285.0,33895
285.0,43433
285.0,47649
285.0,91763
285.0,31798
285.0,89190
285.0,19155
285.0,62515
285.0,93149
285.0,10653
285.0,3141
285.0,16958
290.0,98121
290.0,14182
290.0,93103
290.0,88959
290.0,26674
290.0,84072
290.0,54074
290.0,105149
290.0,48192
290.0,23474
290.0,28833
290.0,38604
290.0,22498
290.0,47200
290.0,67597
290.0,51956
290.0,101138
290.0,2738
290.0,10042
290.0,34901
295.0,38995
295.0,37714
295.0,41944
295.0,40387
295.0,6499
295.0,86728
295.0,41018
295.0,33
295.0,64235
295.0,67309
295.0,103850
295.0,15771
295.0,78764
295.0,39619
295.0,98697
295.0,91804
295.0,89101
295.0,21591
295.0,61818
295.0,98520
295.0,5200
295.0,42677
304.0,83561
304.0,38846
304.0,35716
304.0,55730
304.0,88815
304.0,86788
304.0,19495
304.0,20286
304.0,71902
304.0,81805
304.0,95378
304.0,80867
304.0,95557
304.0,66589
304.0,1126
304.0,93216
304.0,26575
304.0,64318
304.0,97564
304.0,15955
304.0,97316
304.0,39031
313.0,84782
313.0,26180
313.0,61291
313.0,66845
313.0,73336
313.0,33844
313.0,87053
313.0,41198
313.0,88459
313.0,82946
313.0,89417
313.0,72217
313.0,53092
313.0,5032
313.0,101556
313.0,56678
313.0,51431
313.0,4279
313.0,10905
313.0,75920
313.0,56925
313.0,50932
313.0,94353
313.0,57884
324.0,73727
324.0,38622
324.0,60418
324.0,16426
324.0,39345
324.0,28653
324.0,70107
324.0,69943
324.0,29090
324.0,75436
324.0,93792
324.0,72675
324.0,41532
324.0,26631
324.0,49535
324.0,25930
324.0,75225
324.0,54508
324.0,18612
324.0,1677
324.0,102950
324.0,32667
324.0,47531
324.0,87830
324.0,38802
330.0,34778
330.0,88304
330.0,45221
330.0,47711
330.0,105437
330.0,59442
330.0,19353
330.0,39797
330.0,1484
330.0,55434
330.0,102204
330.0,90882
330.0,104169
330.0,76211
330.0,50589
331.0,56491
331.0,27128
331.0,84743
331.0,48147
331.0,66315
331.0,93730
331.0,53746
331.0,10914
331.0,73934
331.0,15821
331.0,44787
331.0,43080
331.0,11923
331.0,63576
331.0,24125
333.0,105288
333.0,103020
333.0,88395
333.0,96109
333.0,45463
333.0,18764
333.0,22924
333.0,86431
333.0,70666
333.0,31320
333.0,6686
333.0,17133
333.0,25404
333.0,20543
333.0,46954
333.0,77149
333.0,49179
333.0,67198
333.0,101622
333.0,105456
333.0,97028
333.0,64271
338.0,25216
338.0,41007
338.0,19447
338.0,65926
338.0,52865
338.0,60451
338.0,103960
338.0,69759
338.0,67609
338.0,68733
338.0,86767
338.0,49499
347.0,76450
347.0,15243
347.0,62382
347.0,52813
347.0,86887
347.0,100079
347.0,45390
347.0,21888
347.0,79535
347.0,65190
347.0,78530
347.0,37094
347.0,98899
347.0,79359
347.0,22067
347.0,51696
347.0,36603
347.0,83063
347.0,82939
347.0,36104
347.0,94382
347.0,67000
347.0,11065
347.0,51001
354.0,58774
354.0,85370
354.0,87730
354.0,19444
354.0,13467
354.0,13956
354.0,58899
354.0,24869
354.0,18371
354.0,25971
354.0,5173
354.0,7683
354.0,85467
354.0,27453
355.0,96737
355.0,96440
355.0,74436
355.0,34238
355.0,47292
355.0,16991
355.0,100380
355.0,37095
355.0,29126
355.0,55509
355.0,54614
355.0,104699
355.0,50022
355.0,105254
355.0,90864
355.0,43797
355.0,33214
355.0,77479
355.0,94680
358.0,83689
358.0,84434
358.0,59414
358.0,67587
358.0,4490
358.0,26428
358.0,104432
358.0,42595
358.0,13273
358.0,13387
358.0,70052
358.0,16317
358.0,98648
358.0,34468
358.0,61699
358.0,79761
358.0,31584
358.0,56706
358.0,62408
358.0,15713
358.0,15253
358.0,104255
358.0,49068
359.0,17308
359.0,90885
359.0,98133
359.0,33089
359.0,41627
359.0,63691
359.0,58185
359.0,17335
359.0,31675
359.0,93113
359.0,39866
359.0,65359
359.0,4304
359.0,60028
359.0,51498
359.0,73018
363.0,9458
363.0,40847
363.0,26020
363.0,22863
363.0,39683
363.0,45708
363.0,34741
363.0,12985
363.0,53063
363.0,94346
363.0,12652
363.0,31865
363.0,25188
363.0,93399
365.0,62315
365.0,44850
365.0,29594
365.0,82086
365.0,80835
365.0,79654
365.0,81131
365.0,100902
365.0,97997
365.0,18515
365.0,45036
365.0,21011
365.0,24603
365.0,66750
365.0,95489
365.0,42756
365.0,16824
365.0,26784
365.0,42554
365.0,3952
365.0,93133
365.0,40133
365.0,1067
365.0,19237
365.0,44114
367.0,25954
367.0,97111
367.0,62375
367.0,73930
367.0,19770
367.0,11357
367.0,13359
367.0,29470
367.0,23026
367.0,4936
367.0,95395
367.0,80905
367.0,69428
367.0,12887
367.0,50656
367.0,74643
370.0,101837
370.0,59012
370.0,59078
370.0,556
370.0,86097
370.0,104537
370.0,5261
370.0,26617
370.0,61390
370.0,93859
370.0,103169
370.0,10793
370.0,43172
370.0,38439
370.0,64964
370.0,23931
370.0,71325
370.0,65207
370.0,104310
370.0,87859
370.0,10559
370.0,100167
370.0,8701
370.0,7696
376.0,35376
376.0,52908
376.0,28404
376.0,90320
376.0,77705
376.0,28374
376.0,105116
376.0,51045
376.0,9399
376.0,73657
376.0,82228
376.0,97022
376.0,32399
376.0,93918
376.0,61234
376.0,5060
394.0,95001
394.0,58322
394.0,89879
394.0,3706
394.0,30586
394.0,42646
394.0,78179
394.0,99207
394.0,58067
394.0,56631
394.0,65578
394.0,79088
394.0,14461
394.0,12247
394.0,105644
394.0,816
394.0,54197
394.0,17764
394.0,91235
394.0,86041
394.0,19484
398.0,57867
398.0,10566
398.0,6104
398.0,20874
398.0,61937
398.0,74789
398.0,83888
398.0,95277
398.0,84196
398.0,102945
398.0,99650
398.0,68454
398.0,29969
398.0,101026
398.0,24743
398.0,1990
398.0,49615
398.0,70288
398.0,10534
398.0,7760
398.0,37044
398.0,20276
398.0,97504
398.0,9007
399.0,104085
399.0,65804
399.0,104807
399.0,62108
399.0,41803
399.0,53583
399.0,43637
399.0,33013
399.0,61732
399.0,26513
399.0,39837
399.0,84363
399.0,58642
399.0,102363
399.0,55404
399.0,5255
399.0,91731
399.0,15491
399.0,87019
399.0,18806
399.0,19697
399.0,10421
399.0,78848
405.0,44105
405.0,78150
405.0,8957
405.0,71198
405.0,73670
405.0,87042
405.0,70539
405.0,19268
405.0,34638
405.0,80218
405.0,20631
405.0,12743
405.0,97908
405.0,4093
405.0,76072
405.0,54400
405.0,72065
405.0,84616
405.0,14002
410.0,18723
410.0,45391
410.0,58655
410.0,26223
410.0,101463
410.0,13121
410.0,85234
410.0,14916
410.0,73123
410.0,46831
410.0,103073
410.0,22915
410.0,55952
410.0,5289
410.0,36738
410.0,59461
413.0,39676
413.0,19205
413.0,105194
413.0,32629
413.0,20224
413.0,102046
413.0,97333
413.0,77906
413.0,79115
413.0,57968
413.0,46271
413.0,34519
413.0,23951
413.0,58094
413.0,42047
413.0,37935
413.0,81139
413.0,35083
413.0,761
413.0,50541
413.0,33601
413.0,86115
413.0,86605
416.0,61468
416.0,20434
416.0,3931
416.0,25062
416.0,17539
416.0,64545
416.0,86840
416.0,24979
416.0,20354
416.0,83932
426.0,105325
426.0,85219
426.0,105147
426.0,104811
426.0,97024
426.0,72982
426.0,69367
426.0,26250
426.0,27368
426.0,75667
426.0,45033
426.0,37687
426.0,12133
426.0,93867
426.0,58398
426.0,40786
426.0,15452
426.0,101399
426.0,61501
426.0,48992
426.0,2878
426.0,46432
426.0,79306
426.0,69764
426.0,83168
427.0,94183
427.0,9260
427.0,24009
427.0,102077
427.0,99281
427.0,79001
427.0,14730
427.0,19335
427.0,48553
427.0,52466
427.0,15864
435.0,85155
435.0,24556
435.0,77911
435.0,16201
435.0,97976
435.0,75053
435.0,78779
435.0,6976
435.0,8805
435.0,95833
435.0,17521
435.0,95899
435.0,31542
435.0,103926
435.0,25358
435.0,93072
435.0,61693
435.0,37460
435.0,25445
435.0,77337
435.0,5298
440.0,4587
440.0,95110
440.0,85904
440.0,9154
440.0,39932
440.0,68573
440.0,8820
440.0,36595
440.0,29790
440.0,26692
440.0,48274
440.0,79183
440.0,95331
440.0,39013
440.0,5082
440.0,65174
440.0,22655
446.0,84310
446.0,87946
446.0,11204
446.0,19022
446.0,70369
446.0,73678
446.0,10771
446.0,22943
446.0,96696
446.0,7417
446.0,72980
446.0,71988
446.0,15631
446.0,4433
446.0,25830
446.0,96299
446.0,95557
446.0,11872
457.0,11277
457.0,71063
457.0,80876
457.0,105455
457.0,65890
457.0,24758
457.0,14586
457.0,74628
457.0,71230
457.0,71091
457.0,74447
457.0,54744
457.0,75238
457.0,32464
457.0,78615
457.0,76221
457.0,26635
457.0,47387
457.0,59345
457.0,86143
457.0,104811
457.0,49257
457.0,7923
458.0,100678
458.0,69111
458.0,60
458.0,66876
458.0,74705
458.0,92325
458.0,37935
458.0,92761
458.0,97981
458.0,49475
458.0,13078
458.0,19178
458.0,50266
458.0,38360
458.0,102028
458.0,68856
458.0,55504
458.0,65910
459.0,14430
459.0,45048
459.0,69014
459.0,83243
459.0,16540
459.0,99172
459.0,74061
459.0,91461
459.0,43795
459.0,102159
459.0,33007
459.0,95679
459.0,46545
459.0,85620
459.0,20529
459.0,41091
459.0,27954
463.0,98827
463.0,16074
463.0,85753
463.0,86509
463.0,39879
463.0,62710
463.0,63080
463.0,98655
463.0,46997
463.0,14848
463.0,34417
463.0,4567
463.0,18800
463.0,35377
463.0,81053
463.0,14694
463.0,31683
463.0,94261
463.0,95562
463.0,20699
463.0,6822
464.0,87381
464.0,15418
464.0,78388
464.0,73151
464.0,91251
464.0,45527
464.0,51704
464.0,38346
464.0,85708
464.0,4073
464.0,65921
464.0,50988
464.0,71035
464.0,54248
464.0,92599
465.0,100779
465.0,74091
465.0,3875
465.0,14708
465.0,80099
465.0,35900
465.0,93987
465.0,31911
465.0,20735
465.0,73371
465.0,65480
465.0,78389
465.0,89143
465.0,38749
465.0,18175
465.0,61830
465.0,50637
465.0,25829
465.0,5450
465.0,62136
467.0,2394
467.0,25161
467.0,88365
467.0,99978
467.0,55365
467.0,8998
467.0,1362
467.0,77687
467.0,95326
467.0,71864
467.0,22356
467.0,103782
467.0,91671
467.0,68876
467.0,102767
467.0,420
467.0,57790
467.0,53503
467.0,34955
467.0,77226
467.0,18882
467.0,77882
467.0,19872
467.0,2396
470.0,103688
470.0,85207
470.0,21883
470.0,94295
470.0,91126
470.0,39083
470.0,30760
470.0,66268
470.0,34092
470.0,64339
472.0,75714
472.0,18259
472.0,43896
472.0,23805
472.0,84266
472.0,34086
472.0,55344
472.0,33405
472.0,5037
472.0,13191
472.0,99740
472.0,90469
472.0,88288
472.0,31859
472.0,42685
472.0,65997
472.0,90006
473.0,18483
473.0,72590
473.0,89026
473.0,54724
473.0,104036
473.0,41947
473.0,73905
473.0,27156
473.0,4335
473.0,68080
473.0,101259
476.0,5995
476.0,55061
476.0,93684
476.0,81228
476.0,46786
476.0,3672
476.0,66251
476.0,48383
476.0,42071
476.0,61753
476.0,49362
476.0,54950
476.0,50068
476.0,41141
476.0,94566
476.0,52329
476.0,42734
476.0,11548
476.0,65663
476.0,57403
476.0,54422
476.0,55005
476.0,76232
476.0,98493
476.0,88648
477.0,32684
477.0,86450
477.0,38900
477.0,5555
477.0,1261
477.0,93899
477.0,80865
477.0,97364
477.0,6247
477.0,14649
477.0,63425
477.0,26718
477.0,5095
477.0,78732
477.0,17920
