id,keyword,start_time,end_time
43,43,2020-07-13,2020-11-08
43,18,2020-02-06,2020-06-17
43,10,2020-07-22,2020-08-29
43,8,2020-07-19,2020-11-17
53,20,2020-02-19,2020-11-23
53,46,2020-03-09,2020-11-23
53,5,2020-01-12,2020-09-25
53,47,2020-04-09,2020-06-05
53,17,2020-05-26,2020-07-19
53,38,2020-01-07,2020-01-27
62,14,2020-01-09,2020-10-09
62,0,2020-12-15,2020-12-16
62,12,2020-07-23,2020-09-06
62,22,2020-02-10,2020-04-28
62,1,2020-04-20,2020-10-24
62,62,2020-08-11,2020-11-20
62,0,2020-01-27,2020-11-03
62,9,2020-08-04,2020-09-17
62,41,2020-09-12,2020-10-30
62,47,2020-07-03,2020-07-15
62,68,2020-08-15,2020-12-09
62,26,2020-06-08,2020-12-16
62,68,2020-02-29,2020-07-23
62,69,2020-03-22,2020-12-03
62,31,2020-04-03,2020-10-05
63,12,2020-08-13,2020-12-04
63,26,2020-05-07,2020-08-06
63,33,2020-03-19,2020-06-21
63,20,2020-04-04,2020-06-23
63,56,2020-01-07,2020-08-28
63,26,2020-05-05,2020-07-07
63,53,2020-01-22,2020-04-14
63,47,2020-09-06,2020-11-28
70,37,2020-02-04,2020-02-18
70,7,2020-01-12,2020-08-11
70,30,2020-04-20,2020-10-16
70,22,2020-08-12,2020-08-23
70,24,2020-02-26,2020-10-24
70,72,2020-03-18,2020-07-29
70,72,2020-05-02,2020-12-05
70,72,2020-03-20,2020-07-17
70,9,2020-10-04,2020-11-05
70,40,2020-02-29,2020-04-24
73,57,2020-04-08,2020-09-24
78,47,2020-08-06,2020-11-12
78,59,2020-04-14,2020-05-31
78,53,2020-01-03,2020-02-06
78,50,2020-01-06,2020-01-18
78,26,2020-04-04,2020-10-05
78,18,2020-08-04,2020-12-05
78,64,2020-01-10,2020-08-12
78,16,2020-04-26,2020-12-18
78,70,2020-11-02,2020-12-28
78,47,2020-03-22,2020-07-23
78,2,2020-05-06,2020-12-07
78,70,2020-03-17,2020-05-10
78,4,2020-06-01,2020-06-18
78,5,2020-04-30,2020-11-13
81,63,2020-02-18,2020-08-02
81,70,2020-01-29,2020-09-15
81,63,2020-04-19,2020-05-28
81,8,2020-10-31,2020-12-07
81,73,2020-03-12,2020-03-25
81,15,2020-10-08,2020-11-25
81,38,2020-01-29,2020-02-15
81,59,2020-06-19,2020-08-06
81,27,2020-07-25,2020-09-16
81,27,2020-10-04,2020-10-22
82,36,2020-05-24,2020-10-25
82,53,2020-02-06,2020-10-25
82,41,2020-01-30,2020-11-13
84,0,2020-04-04,2020-05-19
84,31,2020-11-16,2020-12-15
84,4,2020-05-05,2020-08-13
84,19,2020-05-31,2020-10-19
84,31,2020-07-25,2020-08-17
84,1,2020-05-09,2020-06-17
84,45,2020-03-06,2020-06-08
84,41,2020-04-06,2020-08-23
84,9,2020-01-24,2020-07-18
85,55,2020-01-08,2020-12-28
85,1,2020-08-10,2020-09-03
85,59,2020-01-05,2020-04-01
85,1,2020-07-11,2020-08-17
85,58,2020-08-01,2020-08-22
85,15,2020-03-02,2020-10-19
86,9,2020-05-28,2020-07-06
86,20,2020-03-18,2020-05-03
86,41,2020-08-23,2020-10-06
86,1,2020-06-26,2020-11-26
86,16,2020-08-03,2020-08-11
86,70,2020-03-07,2020-06-24
87,57,2020-10-23,2020-11-18
87,4,2020-08-07,2020-08-18
87,71,2020-11-13,2020-11-25
87,74,2020-04-24,2020-07-18
87,6,2020-01-19,2020-07-29
87,27,2020-06-24,2020-09-27
92,21,2020-07-28,2020-12-27
92,42,2020-05-05,2020-07-08
92,9,2020-05-09,2020-12-20
92,67,2020-08-18,2020-12-13
92,38,2020-05-12,2020-07-18
92,15,2020-06-11,2020-11-03
92,41,2020-06-19,2020-12-06
92,24,2020-04-15,2020-11-30
92,64,2020-05-18,2020-06-17
93,69,2020-01-08,2020-11-06
93,0,2020-05-31,2020-07-09
96,21,2020-03-05,2020-07-15
96,45,2020-06-21,2020-08-06
96,40,2020-06-23,2020-11-01
99,40,2020-04-08,2020-09-13
99,52,2020-05-04,2020-09-07
99,3,2020-05-08,2020-06-01
99,54,2020-07-12,2020-07-14
99,0,2020-02-29,2020-03-08
99,69,2020-05-26,2020-05-27
99,27,2020-06-14,2020-07-30
101,18,2020-03-17,2020-09-20
101,57,2020-05-01,2020-06-03
101,68,2020-08-08,2020-12-26
101,16,2020-01-21,2020-07-25
101,6,2020-01-10,2020-10-28
101,51,2020-05-26,2020-08-12
101,47,2020-03-13,2020-10-06
101,53,2020-05-13,2020-12-02
101,41,2020-03-24,2020-09-01
101,23,2020-01-11,2020-09-30
104,51,2020-03-17,2020-06-26
104,32,2020-01-26,2020-02-13
104,71,2020-05-21,2020-06-13
104,2,2020-01-25,2020-07-10
104,36,2020-09-10,2020-12-03
104,29,2020-02-11,2020-05-26
104,69,2020-01-05,2020-12-15
104,41,2020-03-14,2020-08-02
104,43,2020-06-14,2020-06-15
104,57,2020-05-28,2020-08-28
104,31,2020-05-22,2020-11-23
104,55,2020-02-21,2020-11-01
104,21,2020-01-08,2020-07-08
104,51,2020-01-03,2020-12-02
106,23,2020-04-26,2020-10-02
106,48,2020-05-03,2020-10-15
106,74,2020-01-20,2020-10-14
106,2,2020-04-27,2020-06-26
106,68,2020-03-30,2020-05-01
106,4,2020-01-18,2020-08-01
106,49,2020-06-25,2020-10-06
106,17,2020-06-25,2020-10-18
106,32,2020-02-20,2020-09-18
108,46,2020-01-21,2020-09-10
108,30,2020-01-23,2020-04-19
108,55,2020-02-27,2020-09-27
108,36,2020-01-05,2020-12-03
108,17,2020-02-09,2020-10-28
108,22,2020-09-02,2020-10-27
108,56,2020-08-12,2020-12-01
108,66,2020-05-08,2020-12-18
123,74,2020-09-25,2020-10-18
123,20,2020-05-05,2020-06-10
123,13,2020-01-30,2020-06-05
123,18,2020-08-12,2020-11-02
123,42,2020-07-02,2020-12-28
123,11,2020-02-26,2020-12-04
123,15,2020-02-13,2020-10-11
124,32,2020-04-13,2020-05-07
124,30,2020-04-04,2020-06-11
124,5,2020-08-11,2020-09-07
124,53,2020-02-01,2020-02-29
124,71,2020-01-01,2020-05-14
124,8,2020-08-21,2020-12-09
124,48,2020-08-23,2020-11-29
124,73,2020-07-04,2020-12-17
126,68,2020-03-03,2020-12-07
126,22,2020-05-07,2020-07-23
126,10,2020-07-17,2020-12-28
126,70,2020-02-22,2020-05-14
126,26,2020-02-07,2020-09-27
126,52,2020-10-14,2020-11-03
126,39,2020-02-02,2020-07-06
126,39,2020-06-09,2020-10-20
128,75,2020-01-24,2020-12-26
128,36,2020-04-19,2020-06-22
128,68,2020-01-24,2020-12-12
128,20,2020-06-17,2020-10-03
128,7,2020-06-17,2020-09-02
128,61,2020-08-15,2020-10-07
128,71,2020-11-15,2020-12-24
128,36,2020-09-22,2020-12-09
128,30,2020-04-08,2020-12-06
128,10,2020-02-22,2020-06-30
128,4,2020-09-01,2020-09-09
128,69,2020-09-10,2020-09-15
128,21,2020-04-26,2020-06-09
128,63,2020-01-01,2020-04-02
128,66,2020-06-12,2020-10-01
129,42,2020-01-04,2020-03-18
129,54,2020-03-26,2020-07-26
129,39,2020-06-03,2020-12-02
129,9,2020-07-10,2020-12-29
129,32,2020-03-30,2020-07-11
129,15,2020-03-13,2020-07-05
130,28,2020-02-26,2020-12-03
130,74,2020-05-22,2020-12-18
130,72,2020-01-17,2020-07-21
130,7,2020-02-04,2020-05-15
130,53,2020-04-02,2020-12-01
130,37,2020-01-21,2020-03-11
130,65,2020-07-21,2020-10-08
130,60,2020-02-13,2020-12-20
130,30,2020-06-09,2020-08-12
130,67,2020-04-16,2020-12-23
130,1,2020-03-02,2020-10-20
130,9,2020-01-02,2020-10-31
130,17,2020-04-20,2020-08-24
130,7,2020-01-11,2020-06-22
130,22,2020-03-03,2020-12-15
133,54,2020-03-15,2020-09-04
133,4,2020-03-15,2020-10-26
133,23,2020-06-09,2020-09-14
133,32,2020-08-19,2020-08-20
133,16,2020-05-21,2020-10-19
133,14,2020-06-11,2020-09-07
133,12,2020-09-13,2020-11-16
133,43,2020-06-01,2020-12-01
133,18,2020-02-28,2020-06-12
135,22,2020-02-18,2020-12-27
135,30,2020-04-06,2020-09-08
135,18,2020-02-28,2020-03-31
135,54,2020-07-29,2020-08-05
135,6,2020-05-03,2020-10-14
135,26,2020-02-05,2020-11-08
135,15,2020-01-29,2020-08-13
135,6,2020-04-21,2020-12-08
135,74,2020-04-24,2020-06-11
135,37,2020-01-01,2020-10-18
135,75,2020-12-02,2020-12-04
157,27,2020-03-04,2020-07-30
157,28,2020-02-02,2020-05-26
157,34,2020-07-21,2020-11-05
157,49,2020-07-07,2020-12-23
157,33,2020-07-16,2020-07-20
157,2,2020-01-14,2020-03-25
157,1,2020-11-13,2020-12-29
157,51,2020-06-22,2020-10-11
157,34,2020-10-08,2020-11-27
157,16,2020-06-14,2020-08-27
157,50,2020-08-18,2020-11-08
157,15,2020-05-11,2020-07-23
157,45,2020-06-06,2020-09-22
157,37,2020-01-01,2020-03-30
157,30,2020-04-25,2020-05-06
158,28,2020-10-05,2020-12-29
158,33,2020-02-10,2020-06-24
158,67,2020-05-12,2020-05-30
158,26,2020-04-27,2020-11-10
158,1,2020-01-06,2020-11-27
158,43,2020-03-16,2020-04-14
158,60,2020-07-13,2020-11-15
159,44,2020-05-10,2020-12-11
161,69,2020-05-20,2020-10-20
161,18,2020-01-29,2020-08-07
161,15,2020-02-13,2020-09-28
161,13,2020-08-30,2020-09-14
161,17,2020-02-24,2020-04-08
169,21,2020-10-16,2020-11-27
169,3,2020-07-18,2020-09-20
169,27,2020-02-26,2020-09-08
169,5,2020-11-16,2020-12-10
169,66,2020-01-04,2020-03-14
169,37,2020-05-02,2020-08-18
169,29,2020-03-26,2020-06-12
169,49,2020-03-08,2020-06-17
169,6,2020-06-02,2020-09-24
169,37,2020-01-27,2020-06-09
169,60,2020-09-17,2020-12-15
169,67,2020-07-24,2020-09-04
169,20,2020-07-07,2020-09-15
169,68,2020-02-13,2020-05-23
170,64,2020-04-16,2020-10-13
170,60,2020-04-17,2020-07-06
170,15,2020-06-04,2020-08-25
170,55,2020-10-16,2020-12-22
170,32,2020-04-11,2020-05-20
170,43,2020-06-21,2020-06-30
170,20,2020-03-21,2020-06-09
170,15,2020-06-23,2020-07-28
176,8,2020-03-18,2020-12-29
176,7,2020-04-23,2020-04-29
176,64,2020-04-12,2020-08-11
176,0,2020-04-14,2020-05-08
176,13,2020-05-30,2020-08-17
176,14,2020-04-09,2020-08-11
176,49,2020-04-09,2020-10-19
176,68,2020-10-23,2020-11-23
176,59,2020-05-02,2020-08-10
176,3,2020-03-01,2020-06-25
176,39,2020-05-28,2020-12-16
176,45,2020-05-14,2020-10-01
176,73,2020-06-24,2020-10-13
176,40,2020-10-29,2020-11-02
176,27,2020-07-05,2020-09-14
177,40,2020-10-12,2020-10-13
177,3,2020-03-26,2020-08-11
177,26,2020-04-16,2020-12-27
177,27,2020-01-17,2020-03-21
177,73,2020-04-01,2020-05-06
177,41,2020-07-17,2020-11-20
177,60,2020-07-14,2020-08-14
177,46,2020-04-08,2020-06-03
177,55,2020-04-30,2020-11-01
177,7,2020-08-29,2020-10-27
177,2,2020-01-30,2020-07-08
177,14,2020-11-08,2020-11-24
177,6,2020-04-12,2020-09-01
177,51,2020-11-13,2020-12-24
179,8,2020-10-23,2020-12-16
179,1,2020-07-28,2020-10-25
179,60,2020-01-24,2020-04-25
179,24,2020-04-06,2020-07-30
179,19,2020-03-08,2020-03-27
179,74,2020-02-16,2020-05-18
179,50,2020-04-04,2020-10-05
179,10,2020-09-12,2020-12-12
179,28,2020-09-06,2020-10-21
179,73,2020-03-10,2020-05-31
179,67,2020-02-25,2020-09-12
182,48,2020-09-26,2020-10-22
191,16,2020-05-14,2020-07-22
191,20,2020-04-10,2020-07-05
191,48,2020-01-18,2020-07-24
191,30,2020-02-21,2020-06-17
191,69,2020-05-09,2020-11-19
191,21,2020-04-29,2020-08-05
197,69,2020-01-07,2020-04-13
197,73,2020-01-01,2020-09-01
197,26,2020-04-03,2020-04-19
197,70,2020-05-30,2020-08-25
197,43,2020-01-04,2020-04-26
197,2,2020-04-30,2020-07-18
197,24,2020-01-23,2020-10-08
201,34,2020-05-31,2020-07-19
201,72,2020-02-04,2020-12-07
201,46,2020-02-18,2020-12-07
201,0,2020-01-08,2020-12-18
201,11,2020-10-16,2020-10-29
217,61,2020-01-24,2020-09-04
217,43,2020-09-13,2020-12-07
217,63,2020-08-04,2020-08-19
217,27,2020-11-02,2020-11-13
217,48,2020-09-01,2020-10-05
217,26,2020-05-21,2020-12-28
217,19,2020-03-16,2020-05-28
217,0,2020-05-04,2020-09-17
217,37,2020-10-02,2020-12-21
217,14,2020-09-12,2020-12-23
217,23,2020-04-05,2020-10-05
217,61,2020-02-24,2020-09-22
217,73,2020-01-24,2020-04-07
217,40,2020-03-13,2020-05-15
221,57,2020-06-06,2020-09-13
221,23,2020-09-06,2020-11-26
221,16,2020-01-09,2020-09-08
221,11,2020-02-02,2020-05-18
221,23,2020-05-08,2020-06-29
221,67,2020-10-25,2020-11-27
221,49,2020-03-19,2020-11-26
221,24,2020-06-17,2020-09-26
221,22,2020-07-01,2020-08-26
221,72,2020-10-10,2020-12-24
221,35,2020-03-03,2020-11-26
223,3,2020-07-14,2020-07-22
223,60,2020-01-23,2020-08-18
223,24,2020-01-13,2020-09-18
223,40,2020-03-24,2020-07-27
223,24,2020-06-12,2020-08-30
223,26,2020-03-14,2020-10-08
223,21,2020-09-08,2020-10-30
223,24,2020-01-28,2020-05-17
223,27,2020-05-28,2020-06-12
223,30,2020-08-28,2020-12-23
223,30,2020-03-24,2020-07-30
223,54,2020-03-20,2020-12-20
231,70,2020-05-13,2020-07-24
231,43,2020-03-01,2020-11-30
234,50,2020-01-29,2020-05-13
234,39,2020-02-17,2020-05-12
234,9,2020-04-15,2020-06-12
234,65,2020-07-26,2020-11-25
234,32,2020-05-12,2020-06-13
234,27,2020-09-11,2020-12-04
234,65,2020-06-06,2020-06-26
234,53,2020-01-03,2020-05-02
234,29,2020-01-01,2020-04-13
234,6,2020-06-11,2020-10-04
234,45,2020-01-03,2020-10-16
234,62,2020-03-10,2020-10-15
235,5,2020-02-04,2020-05-19
235,51,2020-06-21,2020-10-10
235,13,2020-01-02,2020-02-07
235,40,2020-01-28,2020-07-08
240,6,2020-01-02,2020-10-11
240,17,2020-02-26,2020-09-29
240,24,2020-03-26,2020-04-23
240,48,2020-04-11,2020-12-16
240,67,2020-01-29,2020-04-12
240,34,2020-04-21,2020-08-13
240,8,2020-02-23,2020-08-20
240,3,2020-01-24,2020-03-03
240,0,2020-06-25,2020-07-07
240,73,2020-04-19,2020-11-29
240,6,2020-04-10,2020-05-10
240,66,2020-03-17,2020-10-23
240,14,2020-10-29,2020-11-13
240,51,2020-06-06,2020-11-27
244,32,2020-03-27,2020-05-04
244,48,2020-01-03,2020-02-21
244,30,2020-06-24,2020-08-02
244,12,2020-02-09,2020-05-01
244,65,2020-02-06,2020-07-31
244,35,2020-04-08,2020-08-04
244,58,2020-08-03,2020-12-25
244,38,2020-02-18,2020-04-01
244,72,2020-03-27,2020-04-08
244,15,2020-04-07,2020-10-28
245,5,2020-06-29,2020-12-27
245,65,2020-07-14,2020-08-21
245,49,2020-10-27,2020-11-16
245,29,2020-03-07,2020-08-08
245,56,2020-04-26,2020-09-26
245,5,2020-10-05,2020-11-12
245,23,2020-03-26,2020-11-29
245,9,2020-10-12,2020-12-20
245,46,2020-05-19,2020-07-06
245,2,2020-05-08,2020-05-14
245,65,2020-01-22,2020-07-29
245,34,2020-03-27,2020-09-04
245,36,2020-09-12,2020-10-29
245,40,2020-08-14,2020-10-28
245,45,2020-03-04,2020-12-09
246,27,2020-04-08,2020-11-02
246,60,2020-04-02,2020-07-26
246,70,2020-04-28,2020-05-16
246,29,2020-12-24,2020-12-27
246,67,2020-01-30,2020-05-29
246,21,2020-10-04,2020-11-08
246,62,2020-06-28,2020-11-15
246,18,2020-01-01,2020-05-07
246,21,2020-05-01,2020-08-31
246,41,2020-09-22,2020-12-19
246,14,2020-07-22,2020-10-05
249,55,2020-01-27,2020-09-28
249,19,2020-04-24,2020-09-25
249,15,2020-01-04,2020-12-20
249,53,2020-09-15,2020-10-24
249,65,2020-01-18,2020-06-04
249,13,2020-08-25,2020-09-13
251,75,2020-01-26,2020-06-10
251,32,2020-01-27,2020-08-20
251,23,2020-02-11,2020-11-12
251,69,2020-03-28,2020-07-11
251,25,2020-06-07,2020-08-15
251,54,2020-04-13,2020-08-22
251,53,2020-11-26,2020-12-16
251,71,2020-03-31,2020-07-31
251,59,2020-09-15,2020-11-14
251,63,2020-06-14,2020-12-21
251,46,2020-04-17,2020-11-02
254,69,2020-09-01,2020-12-24
254,54,2020-07-27,2020-09-06
254,56,2020-04-23,2020-05-14
254,59,2020-06-24,2020-07-19
254,9,2020-08-18,2020-10-04
254,28,2020-01-07,2020-10-22
254,20,2020-03-18,2020-05-23
255,70,2020-04-10,2020-11-11
255,42,2020-02-23,2020-05-10
268,42,2020-10-22,2020-12-16
268,14,2020-05-04,2020-07-22
268,45,2020-05-05,2020-05-16
268,70,2020-03-05,2020-06-18
268,8,2020-01-03,2020-08-04
268,62,2020-04-21,2020-10-31
268,65,2020-09-04,2020-10-26
268,33,2020-07-17,2020-12-07
268,51,2020-03-16,2020-04-23
268,39,2020-01-10,2020-10-05
268,32,2020-02-03,2020-05-13
268,49,2020-06-03,2020-08-17
276,25,2020-04-27,2020-05-03
276,57,2020-02-27,2020-10-26
276,35,2020-06-03,2020-12-13
276,13,2020-06-15,2020-08-10
276,20,2020-05-19,2020-07-16
276,53,2020-05-02,2020-10-05
276,47,2020-01-06,2020-05-20
276,40,2020-04-07,2020-10-13
276,24,2020-03-28,2020-04-27
276,31,2020-07-06,2020-08-30
280,69,2020-06-28,2020-08-07
280,24,2020-03-10,2020-07-06
280,14,2020-01-21,2020-05-12
280,36,2020-02-06,2020-06-05
280,20,2020-03-10,2020-06-16
284,13,2020-03-28,2020-09-26
284,55,2020-09-19,2020-09-29
284,36,2020-10-09,2020-12-06
284,64,2020-04-05,2020-06-22
284,40,2020-01-25,2020-03-18
284,36,2020-05-15,2020-08-03
284,54,2020-08-16,2020-11-30
284,44,2020-06-04,2020-06-12
285,36,2020-08-21,2020-10-19
285,31,2020-09-20,2020-10-30
285,10,2020-01-06,2020-11-08
285,5,2020-06-09,2020-07-10
285,54,2020-03-01,2020-06-27
285,0,2020-05-22,2020-10-22
285,0,2020-06-14,2020-11-17
285,24,2020-08-02,2020-11-25
295,18,2020-02-01,2020-12-27
304,68,2020-02-12,2020-11-17
304,1,2020-03-12,2020-06-23
304,34,2020-05-10,2020-06-18
304,68,2020-03-31,2020-04-18
304,40,2020-05-23,2020-08-16
304,72,2020-03-08,2020-03-25
304,14,2020-04-02,2020-08-29
304,34,2020-06-13,2020-10-16
304,11,2020-05-19,2020-10-16
304,62,2020-07-04,2020-07-10
304,74,2020-03-20,2020-11-20
304,7,2020-01-04,2020-10-13
304,52,2020-03-20,2020-09-27
304,25,2020-01-26,2020-12-30
304,51,2020-03-25,2020-03-31
313,32,2020-07-31,2020-12-20
313,57,2020-05-22,2020-12-18
313,20,2020-09-14,2020-10-12
324,22,2020-02-21,2020-12-14
324,63,2020-03-28,2020-07-12
324,44,2020-02-03,2020-06-19
330,22,2020-01-28,2020-05-01
330,75,2020-06-30,2020-10-19
330,50,2020-01-01,2020-06-13
330,29,2020-08-25,2020-10-03
330,7,2020-07-01,2020-08-13
330,6,2020-03-05,2020-12-05
330,35,2020-03-29,2020-11-16
330,19,2020-10-08,2020-11-12
330,44,2020-05-09,2020-12-12
330,23,2020-08-08,2020-09-02
330,53,2020-05-20,2020-09-18
330,36,2020-03-30,2020-05-14
331,65,2020-07-24,2020-10-30
331,72,2020-06-19,2020-10-17
331,64,2020-11-18,2020-12-16
331,74,2020-04-29,2020-09-25
331,65,2020-02-09,2020-03-28
331,34,2020-03-24,2020-06-02
331,36,2020-03-07,2020-06-18
331,57,2020-01-15,2020-03-30
331,28,2020-04-24,2020-06-03
331,69,2020-11-08,2020-11-30
331,15,2020-02-20,2020-06-07
331,69,2020-03-22,2020-07-24
331,1,2020-07-23,2020-10-14
338,7,2020-01-10,2020-06-11
338,18,2020-05-23,2020-11-16
338,9,2020-06-17,2020-08-04
338,57,2020-06-29,2020-09-28
338,61,2020-04-02,2020-12-10
338,32,2020-07-02,2020-12-16
338,27,2020-04-30,2020-10-13
338,22,2020-07-18,2020-09-29
338,72,2020-05-13,2020-09-14
338,41,2020-06-13,2020-07-11
338,70,2020-01-20,2020-06-27
338,75,2020-09-19,2020-10-26
338,35,2020-10-08,2020-10-18
338,57,2020-03-15,2020-06-16
347,54,2020-03-03,2020-09-22
347,12,2020-03-15,2020-09-18
347,28,2020-12-12,2020-12-19
347,18,2020-01-23,2020-02-17
347,1,2020-04-19,2020-06-24
347,2,2020-10-24,2020-12-23
347,43,2020-12-01,2020-12-08
347,4,2020-06-11,2020-10-25
347,17,2020-05-16,2020-12-28
347,56,2020-05-15,2020-09-05
347,1,2020-01-19,2020-07-13
347,20,2020-11-07,2020-12-12
347,55,2020-01-07,2020-02-17
354,20,2020-04-07,2020-09-14
354,25,2020-07-15,2020-12-16
354,47,2020-01-25,2020-06-08
354,75,2020-04-08,2020-10-23
354,30,2020-09-11,2020-11-07
354,57,2020-06-11,2020-11-27
354,71,2020-02-01,2020-06-28
354,11,2020-01-11,2020-10-09
354,7,2020-08-01,2020-08-22
354,19,2020-06-23,2020-07-10
354,21,2020-06-20,2020-11-10
354,35,2020-01-08,2020-02-15
354,54,2020-04-03,2020-09-15
354,1,2020-08-14,2020-12-02
355,35,2020-06-09,2020-06-10
355,9,2020-01-02,2020-04-16
355,46,2020-02-20,2020-10-14
358,46,2020-01-30,2020-02-12
358,30,2020-03-18,2020-11-09
358,44,2020-01-04,2020-10-17
358,24,2020-05-30,2020-09-12
359,33,2020-06-30,2020-11-05
359,2,2020-08-25,2020-10-31
359,19,2020-01-24,2020-04-19
359,7,2020-04-21,2020-09-21
359,1,2020-05-05,2020-12-06
359,58,2020-05-12,2020-05-13
359,71,2020-01-23,2020-10-01
359,52,2020-01-20,2020-09-30
359,31,2020-05-03,2020-10-26
359,30,2020-01-13,2020-01-30
363,69,2020-04-28,2020-11-10
363,51,2020-01-09,2020-11-07
363,7,2020-05-12,2020-12-17
363,48,2020-02-25,2020-11-14
363,62,2020-01-24,2020-04-16
363,32,2020-03-13,2020-12-29
363,17,2020-05-06,2020-09-24
363,45,2020-08-29,2020-09-26
363,11,2020-01-21,2020-09-15
363,50,2020-02-21,2020-12-19
363,54,2020-06-10,2020-11-20
363,34,2020-02-09,2020-07-11
363,47,2020-05-29,2020-11-01
365,18,2020-06-01,2020-11-21
365,66,2020-02-24,2020-08-12
365,68,2020-06-14,2020-09-23
365,23,2020-03-14,2020-04-20
365,2,2020-08-23,2020-10-11
365,5,2020-03-22,2020-05-13
365,9,2020-05-20,2020-09-24
365,51,2020-01-08,2020-08-27
367,71,2020-03-06,2020-08-30
367,54,2020-05-19,2020-09-29
367,63,2020-09-14,2020-10-23
367,4,2020-03-23,2020-12-05
370,41,2020-04-17,2020-12-12
370,73,2020-11-03,2020-12-14
370,60,2020-06-07,2020-08-07
370,68,2020-04-18,2020-04-21
376,38,2020-03-04,2020-06-24
376,3,2020-08-16,2020-10-25
376,72,2020-08-01,2020-10-18
376,13,2020-03-28,2020-04-17
376,55,2020-05-30,2020-12-27
376,69,2020-07-31,2020-12-30
376,32,2020-02-19,2020-08-14
376,37,2020-11-07,2020-12-05
376,71,2020-07-20,2020-11-28
376,8,2020-07-18,2020-11-22
376,4,2020-03-30,2020-06-19
398,65,2020-03-25,2020-08-11
398,71,2020-01-13,2020-10-28
398,75,2020-03-28,2020-06-10
398,68,2020-06-13,2020-07-20
398,61,2020-06-28,2020-09-10
398,67,2020-08-28,2020-11-15
398,17,2020-03-03,2020-12-30
398,53,2020-03-11,2020-08-03
399,55,2020-05-21,2020-08-03
405,25,2020-01-18,2020-10-08
405,43,2020-08-23,2020-11-09
405,34,2020-08-17,2020-12-10
405,36,2020-10-22,2020-11-04
405,11,2020-05-23,2020-09-10
410,30,2020-05-01,2020-07-02
410,72,2020-01-06,2020-03-27
410,51,2020-01-26,2020-08-20
413,63,2020-02-03,2020-06-09
